Suburb_Cod,Census_2011,easting,northing,x,y,totpedcr,totpedcr_after,ksi,popu,logpopu,popudens,children,yadults,hdpg,loweduc,avgeduc,informdwe,lowinc,unemplorate,lum,comuse,locbuse,gbuse,ginduse,freexpres,arterials,locdistr,rdnetwork,psl60,psl80,psl100,avgpsl,rintocul,int4plusleg,signalint,pctsingalint,intdens,linintdens,strdens,busrtes,brtrtes,railsta,mbustaxirtes,distocbd,nonrezuse
88,Langa,-43401.8149,-3757757.681,18.530506,-33.94588,127,25,57,57878,4.763,18729.187,27.222,18.787,99.598,13.208,80.384,35.483,82.692,35.803,0.510,60.430,0.000,3.620,0.552,4.467,0.000,0.000,45.133,100.000,5.396,5.396,60.810,4.964,55.000,3.000,1.079,89.960,6.160,14.605,442.465,18.124,0.000,167.474,13.000,64.600
18,Bonteheuwel,-41119.76234,-3758348.533,18.555163,-33.951299,256,99,58,53426,4.728,12375.184,26.883,17.454,98.769,24.382,73.983,8.464,69.072,26.638,0.305,53.172,0.000,7.635,0.000,10.443,2.118,0.000,72.120,100.000,4.196,4.196,60.510,13.364,38.000,8.000,2.721,68.101,4.077,16.705,867.038,20.059,1.000,286.029,14.300,60.800
20,Brackenfell,-28144.62035,-3750296.629,18.695787,-33.879137,223,127,58,56228,4.750,2180.200,20.498,13.278,34.736,2.225,62.923,0.226,18.292,5.883,0.639,69.413,14.552,272.208,194.134,19.316,36.044,8.039,324.843,93.184,5.131,5.131,57.000,2.979,219.000,30.000,2.304,50.484,4.008,12.595,237.932,0.000,1.000,276.802,32.800,550.300
7,Bellville Non Urban,-31141.87007,-3734926.745,18.663923,-33.740497,111,50,60,8002,3.903,16.076,27.343,19.048,74.784,29.948,50.444,3.281,41.925,7.767,0.059,10.793,0.000,60.235,143.334,50.224,159.503,25.665,358.160,93.175,52.414,37.840,63.500,3.040,75.000,13.000,3.394,0.769,1.069,0.720,446.255,11.024,0.000,687.184,44.600,214.350
12,Bishop Lavis,-39027.04812,-3758165.758,18.57781,-33.949731,242,57,60,54576,4.737,10554.855,26.366,16.807,98.074,22.304,71.505,13.695,62.888,25.370,0.404,61.090,0.074,3.111,0.000,3.971,3.077,0.000,83.556,100.000,0.581,0.581,60.330,8.576,54.000,10.000,1.976,97.860,6.056,16.160,299.887,1.095,1.000,62.157,17.200,64.270
94,Maitland,-45885.98608,-3754836.895,18.503786,-33.919443,279,95,60,10252,4.011,2597.188,23.704,15.349,93.416,8.515,72.422,5.074,46.029,12.751,0.487,10.502,0.495,93.461,0.000,6.605,8.728,0.000,48.084,99.159,9.001,2.086,60.370,5.651,74.000,7.000,2.881,61.561,5.054,12.181,434.854,6.340,2.000,407.729,8.500,104.450
180,Wallacedene,-24175.384,-3747836.347,18.738755,-33.857053,182,83,62,39759,4.599,20843.358,31.062,19.406,96.759,24.207,73.489,39.664,91.230,31.681,0.322,24.046,0.000,2.384,0.000,0.000,2.062,0.000,49.512,99.680,0.000,0.000,59.960,5.618,110.000,0.000,0.000,223.849,8.624,25.956,0.469,0.000,0.000,13.749,36.100,26.430
9,Bellville South,-33804.43854,-3755232.52,18.634419,-33.923467,198,56,64,24941,4.397,1919.909,24.052,17.090,95.083,16.849,72.057,5.972,51.160,19.525,0.488,60.273,2.296,10.221,449.888,1.071,13.684,4.740,86.271,97.670,0.619,0.619,59.930,2.759,78.000,12.000,2.500,36.949,5.564,6.641,830.790,0.000,2.000,201.583,25.500,522.680
185,Woodstock,-50999.39679,-3755843.819,18.448434,-33.928286,259,58,67,13124,4.118,3420.450,19.840,15.517,79.561,8.623,62.218,0.782,33.812,12.804,0.467,0.833,0.646,76.638,12.912,15.001,8.897,0.000,74.855,100.000,19.254,0.170,61.450,5.842,80.000,6.000,1.802,86.787,4.449,19.509,949.692,73.002,2.000,491.858,3.400,91.030
42,Dunoon,-42522.54833,-3743569.682,18.540702,-33.818009,203,29,76,34151,4.533,33714.933,29.246,18.726,95.448,17.538,78.960,51.945,89.876,32.756,0.352,4.812,0.000,1.414,0.000,0.956,0.615,0.000,20.263,98.357,3.731,3.731,60.000,1.835,37.000,2.000,1.379,143.147,7.156,20.004,18.163,8.127,0.000,54.759,20.200,6.220
2,Athlone,-44895.11857,-3760912.826,18.514191,-33.974261,354,103,80,44788,4.651,4860.250,19.469,15.292,92.438,8.867,67.925,3.558,34.831,10.977,0.403,113.987,16.347,22.955,20.175,4.694,9.920,7.642,151.766,99.954,2.036,1.963,60.190,9.571,204.000,22.000,3.648,65.436,3.973,16.469,672.455,1.577,2.000,364.506,12.200,173.480
15,Bloekombos,-23680.16495,-3746229.742,18.74415,-33.842581,199,91,81,33884,4.530,10354.052,30.585,20.084,98.209,23.635,73.098,21.212,89.889,30.576,0.541,16.456,0.000,1.867,43.176,1.987,4.228,1.783,42.411,97.137,3.891,3.891,60.070,4.881,95.000,1.000,0.347,88.004,6.791,12.960,6.771,0.000,0.000,47.898,36.000,61.510
45,Eersterivier,-25680.42041,-3765421.406,18.721976,-34.015553,214,89,86,42425,4.628,2627.367,26.977,18.167,95.422,13.771,76.947,4.170,41.745,19.644,0.651,78.909,0.000,220.058,29.952,7.365,13.937,1.262,152.955,92.922,8.635,6.874,59.530,2.987,133.000,3.000,0.424,43.846,4.629,9.472,839.703,0.098,1.000,150.627,34.500,328.920
131,Philippi Small Holdings,-41299.89539,-3767834.937,18.552769,-34.036815,218,88,86,6770,3.831,197.870,30.296,17.318,89.502,28.515,65.225,25.825,71.910,18.514,0.115,0.000,0.000,22.177,113.524,14.537,17.706,3.133,83.432,91.201,20.966,20.658,62.270,1.787,34.000,17.000,10.692,4.647,1.906,2.438,1734.176,19.284,0.000,443.250,24.500,135.700
35,Crossroads,-36702.34585,-3763037.377,18.602754,-33.993732,181,48,88,39721,4.599,16905.622,31.034,19.040,99.693,23.492,72.808,40.825,90.428,40.028,0.328,17.333,0.000,5.216,0.000,3.802,3.148,0.000,47.338,100.000,9.217,9.217,60.410,3.813,76.000,3.000,1.049,121.724,6.042,20.147,618.500,16.909,0.000,256.275,22.500,22.550
59,Goodwood,-41400.1676,-3752873.43,18.552388,-33.901929,384,159,89,34105,4.533,4549.506,18.869,13.957,52.126,3.857,72.054,0.156,26.644,7.106,0.484,50.433,2.181,89.897,0.000,6.252,22.667,1.678,137.485,98.024,1.227,1.001,59.770,12.892,243.000,26.000,5.451,63.631,3.469,18.340,768.641,0.000,2.000,406.444,16.600,142.510
85,Kuils River,-28921.31741,-3755908.003,18.687203,-33.929704,418,420,94,72159,4.858,3080.248,24.168,15.572,77.107,8.129,64.047,5.502,29.606,11.998,0.544,154.197,2.930,71.002,64.247,20.412,16.929,6.853,280.226,92.502,5.595,3.635,57.220,2.993,234.000,27.000,2.036,56.603,4.732,11.962,636.620,0.000,1.000,311.573,32.200,292.380
14,Blackheath,-27529.85281,-3761623.782,18.702077,-33.981272,344,232,99,60143,4.779,3992.075,26.894,17.519,97.570,16.836,74.569,14.239,48.955,22.595,0.634,87.381,0.000,28.378,353.650,1.254,17.426,2.380,192.716,99.372,0.787,0.532,60.000,3.167,144.000,10.000,0.960,69.165,5.407,12.792,1109.821,0.000,2.000,249.020,31.500,469.410
83,Kraaifontein,-26999.00719,-3745817.259,18.708306,-33.838782,410,291,104,65811,4.818,3369.042,23.362,13.596,51.095,6.214,72.531,0.859,26.275,7.906,0.485,77.829,7.470,108.601,70.549,13.400,24.185,7.118,306.130,83.727,3.334,3.334,53.420,4.547,374.000,16.000,1.275,64.247,4.100,15.672,166.468,0.000,2.000,281.693,32.900,264.450
126,Parow,-37724.08665,-3753188.899,18.59212,-33.904912,570,431,105,72173,4.858,4862.121,21.058,15.233,68.893,8.703,73.814,1.065,35.595,12.451,0.561,136.259,34.594,52.787,110.213,17.519,34.318,1.983,244.561,99.927,3.263,3.242,60.600,6.026,361.000,39.000,4.203,62.517,3.795,16.476,619.514,0.000,5.000,385.600,20.400,333.850
17,Blue Downs,-30219.2915,-3761024.086,18.672993,-33.97579,327,237,117,51902,4.715,4451.966,30.996,17.965,98.256,17.650,73.089,6.785,59.221,23.188,0.544,68.710,0.000,12.188,6.867,9.551,10.250,4.950,140.489,88.802,6.312,5.514,55.660,3.690,131.000,9.000,1.238,62.360,5.175,12.051,1685.112,0.000,0.000,275.910,29.100,87.770
